# taken from https://en.wikipedia.org/wiki/Phonetic_notation_of_the_American_Heritage_Dictionary

# AHD	IPA	Example
ă	æ	b a t
ā	eɪ	b ai t
âr	ɛər	b ear
ä	ɑː	f a ther
ĕ	ɛ	b e t
ē	iː	b ea t
ĭ	ɪ	b i t
ī	aɪ	b i te
îr	ɪər	b eer
ŏ	ɒ	b o t
ō	oʊ	b oa t
ô	ɔː	b ough t
ôr	ɔːr	n or th
oi	ɔɪ	b oy
o͝o	ʊ	b oo k
o͞o	uː	b oo t
ou	aʊ	b ou t
ŭ	ʌ	b u tt
ûr	ɜːr	b ir d
ə	ə	a bout
ər	ər	butt er
œ	ø	French f eu , German sch ö n
œ	French  œu f, German zw ö lf
ü	y	French t u , German  ü ber
◌ N	◌̃	French bo n
b	b	b uy
ch	tʃ	Ch ina
d	d	d ye
f	f	f ight
g	ɡ	g uy
h	h	h igh
hw	ʍ	wh y
j	dʒ	j ive
k	k	k ite
l	l	l ie
əl	bott le
m	m	m y
n	n	n igh
ən	butt on
ng	ŋ	si ng
p	p	p ie
r	r	r ye
s	s	s igh
sh	ʃ	sh y
t	t	t ie
th	θ	th igh
th	ð	th y
v	v	v ie
w	w	w ide
y	j	y acht
z	z	z oo
zh	ʒ	vi s ion
əm	əm	rhyth m
KH	ç	German i ch
x	German a ch , Scottish lo ch
